category, apps
App Wallpaper,519
Weather,514
Travel and Local,495
Medical,518
Productivity,489
Media and Video,470
Tools,518
Android Wear,347
Finance,510
Comics,294
Music and Audio,522
Transportation,531
Game,389
News and Magazines,523
Family,451
Education,513
Communication,509
App Widgets,513
Social,511
Business,517
Sports,518
Photography,508
Health and Fitness,458
Personalisation,511
Entertainment,493
Lifestyle,500
Books and Reference,516
Libraries and Demo,506
Shopping,510
