/,SignatureChecking,CodeIntegrityChecking,InstallerVerification,SafetyNetAttestation,EmulatorDetection,DynamicAnalysisFrameworkDetection,DebuggerDetection,DebuggableStatusDetection,AlteringDebuggerMemoryStructure,
SignatureChecking,0,153,17329,2628,11203,796,8979,474,0,
CodeIntegrityChecking,153,0,131,7,102,6,78,1,0,
InstallerVerification,17329,131,0,2413,10698,759,8026,451,0,
SafetyNetAttestation,2628,7,2413,0,1065,99,597,94,0,
EmulatorDetection,11203,102,10698,1065,0,679,7159,464,0,
DynamicAnalysisFrameworkDetection,796,6,759,99,679,0,524,199,0,
DebuggerDetection,8979,78,8026,597,7159,524,0,229,0,
DebuggableStatusDetection,474,1,451,94,464,199,229,0,0,
AlteringDebuggerMemoryStructure,0,0,0,0,0,0,0,0,0,
